AWS Extension Dependency,Function category,complexity,Efforts(Hours)
aws_oracle_ext.dbms_utility$format_call_stack,DBMS_UTILITY,MEDIUM,2
aws_oracle_ext.dbms_utility$current_instance,DBMS_UTILITY,SIMPLE,1
aws_oracle_ext.dbms_sql$variable_value_char,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$variable_value,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$to_refcursor,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$to_cursor_number,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$parse,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$open_cursor,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$last_sql_function_code,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$last_row_count,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$is_open,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$init,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$fetch_rows,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$execute_and_fetch,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$execute,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$define_column_long,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$define_column_char,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$define_column,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$column_value_long,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$column_value_char,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$column_value,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$close_cursor,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$bind_variable_char,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_sql$bind_variable,DYNAMIC_SQL_DBMS_SQL,MEDIUM,2
aws_oracle_ext.dbms_session$set_nls,DBMS_SESSION,MEDIUM,2
aws_oracle_ext.dbms_session$set_identifier,DBMS_SESSION,MEDIUM,2
aws_oracle_ext.dbms_session$set_context,DBMS_SESSION,MEDIUM,2
aws_oracle_ext.dbms_session$reinitialize,DBMS_SESSION,MEDIUM,2
aws_oracle_ext.dbms_session$is_session_alive,DBMS_SESSION,MEDIUM,2
aws_oracle_ext.dbms_session$is_role_enabled,DBMS_SESSION,MEDIUM,2
aws_oracle_ext.dbms_session$free_all_resources,DBMS_SESSION,MEDIUM,2
aws_oracle_ext.dbms_session$clear_identifier,DBMS_SESSION,MEDIUM,2
aws_oracle_ext.dbms_session$clear_context,DBMS_SESSION,MEDIUM,2
aws_oracle_ext.dbms_session$clear_all_context,DBMS_SESSION,MEDIUM,2
aws_oracle_ext.dbms_random$value,DBMS_RANDOM,MEDIUM,2
aws_oracle_ext.dbms_random$value,DBMS_RANDOM,MEDIUM,2
aws_oracle_ext.dbms_random$terminate,DBMS_RANDOM,MEDIUM,2
aws_oracle_ext.dbms_random$string,DBMS_RANDOM,MEDIUM,2
aws_oracle_ext.dbms_random$seed,DBMS_RANDOM,MEDIUM,2
aws_oracle_ext.dbms_random$random,DBMS_RANDOM,MEDIUM,2
aws_oracle_ext.dbms_random$normal,DBMS_RANDOM,MEDIUM,2
aws_oracle_ext.dbms_random$initialize,DBMS_RANDOM,MEDIUM,2
aws_oracle_ext.dbms_obfuscation_toolkit$md,DBMS_OBFUSCATION_TOOLKIT,COMPLEX,4
aws_oracle_ext.dbms_obfuscation_toolkit$desgetkey,DBMS_OBFUSCATION_TOOLKIT,COMPLEX,4
aws_oracle_ext.dbms_obfuscation_toolkit$desencrypt,DBMS_OBFUSCATION_TOOLKIT,COMPLEX,4
aws_oracle_ext.dbms_obfuscation_toolkit$desdecrypt,DBMS_OBFUSCATION_TOOLKIT,COMPLEX,4
aws_oracle_ext.dbms_lock$request,LOCK_DBMS_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_lock$release,LOCK_DBMS_PROCESSING,COMPLEX,4
